City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
318,wynyard,-41.0,145.7167,17.88,89,3,0.89,AU,1736703819
319,ambilobe,-13.2,49.05,23.78,96,99,0.9,MG,1736703820
320,shetpe,44.1667,52.1167,3.32,95,95,4.32,KZ,1736703821
321,sur,22.5667,59.5289,20.96,51,0,2.15,OM,1736703822
322,griffith,41.5284,-87.4237,-0.4,87,100,6.69,US,1736703824
323,katsuren-haebaru,26.3369,127.8719,13.71,50,75,4.12,JP,1736703825
324,tahoua,14.8888,5.2692,22.72,14,93,4.36,NE,1736703826
325,vilyuchinsk,52.9306,158.4028,-14.85,77,1,4.92,RU,1736703827
326,vadso,70.0744,29.7487,-2.91,80,40,14.4,NO,1736703828
327,mount pleasant,32.7941,-79.8626,9.36,51,0,1.54,US,1736703829
328,fort payne,34.4442,-85.7197,2.78,68,0,2.06,US,1736703831
329,happy valley-goose bay,53.3168,-60.3315,-2.83,68,100,5.66,CA,1736703832
330,crane,31.3974,-102.3501,8.95,42,1,4.54,US,1736703833
331,sinabang,2.4803,96.3801,25.61,85,98,0.46,ID,1736703834
332,goondiwindi,-28.55,150.3167,20.78,79,5,4.44,AU,1736703835
333,manicore,-5.8092,-61.3003,33.09,54,90,1.57,BR,1736703836
334,vicosa,-20.7539,-42.8819,24.68,80,84,2.07,BR,1736703837
335,wellington,-41.2866,174.7756,12.81,76,100,8.23,NZ,1736703588
336,kaa-khem,51.6833,94.7333,-20.56,94,94,1.94,RU,1736703840
337,richfield,44.8833,-93.283,-6.54,82,100,8.75,US,1736703841
338,hell-ville,-13.4,48.2667,27.85,77,100,7.65,MG,1736703842
339,hami,42.8,93.45,-5.98,70,22,0.59,CN,1736703843
340,portland,45.5234,-122.6762,5.3,96,75,1.79,US,1736703432
341,mount isa,-20.7333,139.5,30.87,40,88,2.57,AU,1736703846
342,tazacorte,28.629,-17.9293,21.19,68,75,4.63,ES,1736703847
343,kirakira,-10.4544,161.9205,25.98,87,22,2.43,SB,1736703848
344,nakskov,54.8373,11.1284,1.95,66,49,5.86,DK,1736703849
345,soloma,15.7167,-91.45,17.26,42,0,1.56,GT,1736703850
346,balpyk bi,44.8947,78.2083,-9.52,83,5,1.83,KZ,1736703852
347,hilo,19.7297,-155.09,19.58,99,40,2.06,US,1736703853
348,udachny,66.4167,112.4,-35.38,100,94,2.12,RU,1736703854
349,dryden,49.7833,-92.7503,-13.84,78,75,2.57,CA,1736703719
350,kuloy,61.0305,42.4925,-3.75,97,100,1.62,RU,1736703856
351,guitiriz,43.1817,-7.8966,6.67,83,79,1.35,ES,1736703857
352,nema,57.5067,50.5011,-7.12,91,100,3.31,RU,1736703858
353,chui,-33.6971,-53.4616,25.34,48,0,5.35,UY,1736703860
